McMaster Part Number,Description,Size,Quantity,Price
90298A546,18-8 Stainless Steel Shoulder Screw,"1/4"" Diameter 1-1/2"" Long Shoulder, 10-24 Thread",,
94785A013,18-8 Stainless Steel Square Nut,10-24 Thread Size,,
